,state,county,2019,2020,2021,2020 yoy diff,2021 yoy diff
221,Florida,Levy County,162004.16666666666,191178.75,240527.95833333334,29174.583333333343,49349.20833333334
222,Florida,Liberty County,77500.0,80000.0,181039.66666666666,2500.0,101039.66666666666
223,Florida,Madison County,119700.0,129437.5,172967.875,9737.5,43530.375
224,Florida,Manatee County,284884.7916666667,304164.7916666667,373517.5,19280.0,69352.70833333331
225,Florida,Marion County,163550.16666666666,186525.0,221245.83333333334,22974.833333333343,34720.83333333334
226,Florida,Martin County,302585.2083333333,321375.0,373928.3333333333,18789.791666666686,52553.333333333314
227,Florida,Miami-Dade County,306187.0833333333,338370.8333333333,401975.0,32183.75,63604.166666666686
228,Florida,Monroe County,561458.3333333334,617431.375,745866.6666666666,55973.04166666663,128435.29166666663
229,Florida,Nassau County,269019.3333333333,274601.25,354663.125,5581.916666666686,80061.875
230,Florida,Okaloosa County,245890.83333333334,268795.8333333333,317077.7083333333,22904.99999999997,48281.875
231,Florida,Okeechobee County,164485.41666666666,190000.0,213079.16666666666,25514.583333333343,23079.166666666657
232,Florida,Orange County,270970.4166666667,297808.3333333333,341257.9166666667,26837.916666666628,43449.58333333337
233,Florida,Osceola County,242130.83333333334,261117.20833333334,312626.875,18986.375,51509.66666666666
234,Florida,Palm Beach County,282204.0833333333,311708.3333333333,365741.6666666667,29504.25,54033.33333333337
235,Florida,Pasco County,213651.66666666666,239106.16666666666,285448.75,25454.5,46342.58333333334
236,Florida,Pinellas County,238986.5,269194.2083333333,316104.1666666667,30207.708333333314,46909.95833333337
237,Florida,Polk County,203992.5,222684.04166666666,266086.25,18691.541666666657,43402.20833333334
238,Florida,Putnam County,148270.83333333334,171450.0,184382.08333333334,23179.166666666657,12932.083333333343
239,Florida,Santa Rosa County,233036.875,251746.66666666666,310469.2083333333,18709.791666666657,58722.54166666666
240,Florida,Sarasota County,269336.875,296901.8333333333,369013.3333333333,27564.958333333314,72111.5
241,Florida,Seminole County,264789.7916666667,286908.3333333333,329811.6666666667,22118.541666666628,42903.33333333337
242,Florida,St. Johns County,327873.9166666667,345393.8333333333,411143.75,17519.916666666628,65749.91666666669
243,Florida,St. Lucie County,227767.5,244714.16666666666,299162.2916666667,16946.666666666657,54448.12500000003
244,Florida,Sumter County,247882.45833333334,264906.25,299519.25,17023.791666666657,34613.0
245,Florida,Taylor County,120872.91666666667,153937.5,169458.33333333334,33064.58333333333,15520.833333333343
246,Florida,Union County,202713.63636363635,192150.0,213240.9090909091,-10563.636363636353,21090.90909090909
247,Florida,Volusia County,214311.70833333334,233532.91666666666,277825.3333333333,19221.208333333314,44292.41666666666
248,Florida,Wakulla County,202122.70833333334,221970.83333333334,245734.33333333334,19848.125,23763.5
249,Florida,Walton County,418194.6666666667,494974.0833333333,628666.2916666666,76779.41666666663,133692.2083333333
250,Georgia,Appling County,20000.0,129966.66666666667,170083.44444444444,109966.66666666667,40116.77777777777
251,Georgia,Atkinson County,,,162000.0,,
252,Georgia,Bacon County,,186000.0,140000.0,,-46000.0
253,Georgia,Baker County,28539.0,,,,
254,Georgia,Baldwin County,172487.5,207729.16666666666,230395.83333333334,35241.66666666666,22666.666666666686
255,Georgia,Banks County,212418.54166666666,237033.33333333334,300025.0,24614.791666666686,62991.66666666666
256,Georgia,Barrow County,199836.66666666666,229741.25,277425.5,29904.583333333343,47684.25
